time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  | th6                                  | th7                                  | th8                                  | th9                                  | th10                                 
54        | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | INTERRUPTIBLE (F7,F8,F9,F0,F1)       | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | SWRDY ()                             | READY (F2,F3,F4)                     | SWRDY ()                             
55        | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | INTERRUPTIBLE (F7,F8,F9,F0,F1)       | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | SWRDY ()                             | READY (F2,F3,F4)                     | SWRDY ()                             
56        | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | SWRDY ()                             | READY (F2,F3,F4)                     | SWRDY ()                             
57        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | EXECUTING (F2)                       | SWRDY (F3,F4)                        | SWRDY ()                             
58        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | INTERRUPTIBLE (F2)                   | SWRDY (F3,F4)                        | SWRDY ()                             
59        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | INTERRUPTIBLE (F2)                   | SWRDY (F3,F4)                        | SWRDY ()                             
60        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | INTERRUPTIBLE (F2)                   | SWRDY (F3,F4)                        | SWRDY ()                             
61        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | EXECUTING (F7,F8,F9,F0,F1)           | INTERRUPTIBLE (F2)                   | SWRDY (F3,F4)                        | SWRDY ()                             
62        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | EXECUTING (F7,F8,F9,F0,F1)           | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
63        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | EXECUTING (F7,F8,F9,F0,F1)           | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
64        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
65        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
66        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
67        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | EXECUTING (F5,F6)                    | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
68        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | EXECUTING (F5,F6)                    | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
69        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | INTERRUPTIBLE (F5,F6)                | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
70        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
71        | SWRDY ()                             | SWRDY ()                             | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY (F3,F4)                        | SWRDY ()                             
72        | SWRDY ()                             | EXECUTING (F3,F4)                    | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
73        | SWRDY ()                             | EXECUTING (F3,F4)                    | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
74        | SWRDY ()                             | INTERRUPTIBLE (F3,F4)                | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
75        | SWRDY ()                             | INTERRUPTIBLE (F3,F4)                | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
76        | SWRDY ()                             | READY (F3,F4)                        | READY (F2)                           | READY (F7,F8,F9,F0,F1)               | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
77        | EXECUTING (F5,F6,F7,F8,F9,F0)        | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
78        | EXECUTING (F5,F6,F7,F8,F9,F0)        | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
79        | EXECUTING (F5,F6,F7,F8,F9,F0)        | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
80        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
81        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
82        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | READY (F2)                           | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
83        | READY (F5,F6,F7,F8,F9,F0)            | READY (F3,F4)                        | EXECUTING (F2)                       | SWRDY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY (F1)                           | READY (F2)                           | SWRDY ()                             | READY (F3,F4)                        
