time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  
19        | INTERRUPTIBLE (F7,F8,F9)             | READY (F0,F1,F2,F3)                  | EXECUTING (F0,F1,F2,F3)              | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
20        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | EXECUTING (F0,F1,F2,F3)              | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
21        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
22        | READY (F7,F8,F9)                     | EXECUTING (F0,F1,F2,F3)              | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
23        | READY (F7,F8,F9)                     | EXECUTING (F0,F1,F2,F3)              | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
24        | READY (F7,F8,F9)                     | INTERRUPTIBLE (F0,F1,F2,F3)          | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
25        | READY (F7,F8,F9)                     | INTERRUPTIBLE (F0,F1,F2,F3)          | READY (F0,F1,F2,F3)                  | EXECUTING (F0,F1,F2,F3)              | READY (F4,F5,F6)                     
26        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | EXECUTING (F0,F1,F2,F3)              | READY (F4,F5,F6)                     
27        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | EXECUTING (F0,F1,F2,F3)              | READY (F4,F5,F6)                     
28        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
29        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
30        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F4,F5,F6)                     
31        | READY (F7,F8,F9)                     | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | READY (F0,F1,F2,F3)                  | EXECUTING (F4,F5,F6)                 
